Ronde,Sesi,Mosi,Nama Juri,Room,Tim,Posisi,Nama Peserta,Skor,,Rank,Victory Point
,,,,,,,,Individu,Tim,,
1,Sesi 1,,Juri 1,Room 1,Universitas Nasional,OG,,87,86,,
,,,,,,,,85,,,
,,,,,,OO,,78,84,,
,,,,,,,,90,,,
,,,,,,CG,,91,86.5,,
,,,,,,,,82,,,
,,,,,,CO,,88,88.5,,
,,,,,,,,89,,,
,,,Juri 2 ,Room 2,,OG,,,#DIV/0!,,
,,,,,,,,,,,
,,,,,,OO,,,#DIV/0!,,
,,,,,,,,,,,
,,,,,,CG,,,#DIV/0!,,
,,,,,,,,,,,
,,,,,,CO,,,#DIV/0!,,
,,,,,,,,,,,
,,,Juri 3,Room 3,,OG,,,#DIV/0!,,
,,,,,,,,,,,
,,,,,,OO,,,#DIV/0!,,
,,,,,,,,,,,
,,,,,,CG,,,#DIV/0!,,
,,,,,,,,,,,
,,,,,,CO,,,#DIV/0!,,
,,,,,,,,,,,
,Sesi 2,,Juri 1,Room 1,,OG,,,#DIV/0!,,
,,,,,,,,,,,
,,,,,,OO,,,#DIV/0!,,
,,,,,,,,,,,
,,,,,,CG,,,#DIV/0!,,
,,,,,,,,,,,
,,,,,,CO,,,#DIV/0!,,
,,,,,,,,,,,
,,,Juri 2,Room 2,,OG,,,#DIV/0!,,
,,,,,,,,,,,
,,,,,,OO,,,#DIV/0!,,
,,,,,,,,,,,
,,,,,,CG,,,#DIV/0!,,
,,,,,,,,,,,
,,,,,,CO,,,#DIV/0!,,
,,,,,,,,,,,
,,,Juri 3,Room 3,,OG,,,#DIV/0!,,
,,,,,,,,,,,
,,,,,,OO,,,#DIV/0!,,
,,,,,,,,,,,
,,,,,,CG,,,#DIV/0!,,
,,,,,,,,,,,
,,,,,,CO,,,#DIV/0!,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Ronde,Sesi,Mosi,Nama Juri,Room,Tim,Posisi,Nama Peserta,Skor,,Rank,Victory Point
,,,,,,,,Individu,Tim,,
2,Sesi 1,,Juri 1,Room 1,Universitas Nasional,OG,,,#DIV/0!,,
,,,,,,,,,,,
,,,,,,OO,,,#DIV/0!,,
,,,,,,,,,,,
,,,,,,CG,,,#DIV/0!,,
,,,,,,,,,,,
,,,,,,CO,,,#DIV/0!,,
,,,,,,,,,,,
,,,Juri 2 ,Room 2,,OG,,,#DIV/0!,,
,,,,,,,,,,,
,,,,,,OO,,,#DIV/0!,,
,,,,,,,,,,,
,,,,,,CG,,,#DIV/0!,,
,,,,,,,,,,,
,,,,,,CO,,,#DIV/0!,,
,,,,,,,,,,,
,,,Juri 3,Room 3,,OG,,,#DIV/0!,,
,,,,,,,,,,,
,,,,,,OO,,,#DIV/0!,,
,,,,,,,,,,,
,,,,,,CG,,,#DIV/0!,,
,,,,,,,,,,,
,,,,,,CO,,,#DIV/0!,,
,,,,,,,,,,,
,Sesi 2,,Juri 1,Room 1,,OG,,,#DIV/0!,,
,,,,,,,,,,,
,,,,,,OO,,,#DIV/0!,,
,,,,,,,,,,,
,,,,,,CG,,,#DIV/0!,,
,,,,,,,,,,,
,,,,,,CO,,,#DIV/0!,,
,,,,,,,,,,,
,,,Juri 2,Room 2,,OG,,,#DIV/0!,,
,,,,,,,,,,,
,,,,,,OO,,,#DIV/0!,,
,,,,,,,,,,,
,,,,,,CG,,,#DIV/0!,,
,,,,,,,,,,,
,,,,,,CO,,,#DIV/0!,,
,,,,,,,,,,,
,,,Juri 3,Room 3,,OG,,,#DIV/0!,,
,,,,,,,,,,,
,,,,,,OO,,,#DIV/0!,,
,,,,,,,,,,,
,,,,,,CG,,,#DIV/0!,,
,,,,,,,,,,,
,,,,,,CO,,,#DIV/0!,,
